trip_uuid,source_center,destination_center,route_type,segment_osrm_time,segment_actual_time,baseline_pred_min,graph_pred_min,baseline_err_pct,graph_err_pct,graph_wins
trip-153840184950225356,IND000000AAL,IND411033AAA,Carting,26.0,65.0,79.19,72.87,21.837158203125,12.11501995278317,True
trip-153841881146934430,IND000000AAL,IND411033AAA,Carting,33.0,127.0,92.06,93.46,27.510605459138166,26.406691448716884,True
trip-153848713204084823,IND000000AAL,IND411033AAA,Carting,42.0,160.0,184.31,129.34,15.195064544677733,19.16511539225697,False
trip-153857674884251648,IND000000AAL,IND411033AAA,Carting,35.0,131.0,112.46,99.74,14.153749888179867,23.866190233164243,False
trip-153844029236173803,IND000000AAQ,IND700028AAB,Carting,14.0,66.0,65.12,83.48,1.3340689919211648,26.49031916003724,False
trip-153852659031416228,IND000000AAQ,IND700028AAB,Carting,14.0,103.0,110.48,117.61,7.261791044068568,14.185110130825818,False
trip-153807462781768214,IND000000ABA,IND683565AAA,Carting,18.0,74.0,67.9,81.52,8.238498584644214,10.165370209858217,False
trip-153833359510091857,IND000000ABA,IND683565AAA,Carting,19.0,42.0,38.97,39.81,7.214210146949404,5.217708291953082,True
trip-153805845189228423,IND000000ABG,IND501359AAF,Carting,34.0,185.0,171.64,191.79,7.2203930004222965,3.6699781501874593,True
trip-153814269675283786,IND000000ABG,IND501359AAF,Carting,35.0,188.0,165.34,189.08,12.054175518928691,0.5742279919567841,True
trip-153806017528059809,IND000000ACA,IND142001AAB,FTL,58.0,92.0,99.36,93.91,7.995522540548573,2.0806233583125726,True
trip-153817397378904479,IND000000ACA,IND142401AAA,FTL,18.0,38.0,37.13,36.83,2.3020091809724508,3.070899698924547,False
trip-153825978202410674,IND000000ACA,IND142401AAA,FTL,19.0,35.0,35.82,35.4,2.349897112165179,1.1378405881893627,True
trip-153834502874428106,IND000000ACA,IND142401AAA,FTL,18.0,31.0,34.75,33.56,12.080912436208417,8.261677676259481,True
trip-153844023427168137,IND000000ACA,IND142401AAA,FTL,19.0,32.0,35.2,33.95,9.990525245666504,6.080022159471854,True
trip-153852189717216543,IND000000ACA,IND142401AAA,FTL,19.0,31.0,35.4,34.55,14.18425037014869,11.458745699197074,True
trip-153860448773300545,IND000000ACA,IND142401AAA,FTL,18.0,41.0,38.54,40.22,5.995168918516577,1.8943814689933967,True
trip-153806526543338417,IND000000ACA,IND144001AAB,FTL,47.0,76.0,86.55,76.68,13.879434685958058,0.8906683120228371,True
trip-153841157594938418,IND000000ACA,IND144001AAB,FTL,46.0,76.0,85.99,76.8,13.147886175858348,1.0461152665162798,True
trip-153849725440485972,IND000000ACA,IND144001AAB,FTL,46.0,78.0,89.69,79.07,14.983661358173078,1.3727872366709848,True
trip-153808697523896410,IND000000ACA,IND147301AAA,FTL,27.0,46.0,47.74,46.64,3.7917924963909644,1.3861295298178293,True
trip-153803613655859478,IND000000ACA,IND160002AAC,FTL,60.0,123.0,115.91,110.93,5.763709835889863,9.815775572956186,False
trip-153805947380180455,IND000000ACA,IND160002AAC,FTL,60.0,129.0,130.25,131.01,0.970577269561531,1.5603862128072095,False
trip-153820854477264327,IND000000ACA,IND160002AAC,FTL,60.0,119.0,116.94,111.43,1.727230809315914,6.361253259544218,False
trip-153822696189317074,IND000000ACA,IND160002AAC,FTL,60.0,112.0,123.22,115.87,10.02195222037179,3.4565972410616777,True
trip-153829669145579682,IND000000ACA,IND160002AAC,FTL,60.0,123.0,116.7,116.98,5.119311324949187,4.897290339198978,True
