trip_uuid,source_center,osrm_distance,p_breach_carting,p_breach_ftl,exp_cost_carting,exp_cost_ftl,historical_choice,recommended_route_type,cost_savings
trip-153676033839698871,IND000000AAL,30.139000000000003,0.943,0.921,501.69725805664064,535.9082299804687,Carting,Carting,34.21097192382808
trip-153678027575077638,IND000000AAL,31.201500000000003,0.708,0.694,385.3861923828125,425.0864526367188,Carting,Carting,39.700260253906265
trip-153687183812986231,IND000000AAL,28.4735,0.725,0.86,391.117787109375,501.29959472656253,Carting,Carting,110.18180761718753
trip-153695090059907245,IND000000AAL,27.2901,0.766,0.861,410.36355581054687,498.7954404296875,Carting,Carting,88.43188461914065
trip-153696359145586670,IND000000AAL,26.315,0.731,0.865,391.863095703125,498.14226684570315,Carting,Carting,106.27917114257815
trip-153705680712413176,IND000000AAL,28.0472,0.571,0.571,313.7912795898437,355.86207958984374,Carting,Carting,42.07080000000002
trip-153709987802882184,IND000000AAL,27.0878,0.918,0.925,486.2625741699219,530.0724357910157,Carting,Carting,43.80986162109377
trip-153713092350779175,IND000000AAL,28.8138,0.704,0.849,381.0290099609375,496.54484545898435,Carting,Carting,115.51583549804684
trip-153719134508617934,IND000000AAL,26.8018,0.929,0.935,491.4229853027344,534.4098955078125,Carting,Carting,42.98691020507812
trip-153727712659701123,IND000000AAL,29.5349,0.942,0.947,500.5692322753906,547.3402102050782,Carting,Carting,46.77097792968755
trip-153736536977220164,IND000000AAL,27.7614,0.947,0.951,501.32286240234373,545.082455078125,Carting,Carting,43.75959267578128
trip-153751317056668638,IND000000AAL,28.4587,0.674,0.674,365.3640955078125,408.0521455078125,Carting,Carting,42.688049999999976
trip-153753822247681124,IND000000AAL,25.3432,0.929,0.935,489.9643853027344,530.7633955078124,Carting,Carting,40.79901020507805
trip-153761851236273429,IND000000AAL,30.527,0.912,0.88,486.709373046875,516.3136242675781,Carting,Carting,29.604251220703134
trip-153840184950225356,IND000000AAL,27.6715,0.947,0.951,501.23296240234373,544.857705078125,Carting,Carting,43.624742675781306
trip-153841881146934430,IND000000AAL,30.6155,0.723,0.691,391.9525361328125,421.945244140625,Carting,Carting,29.992708007812496
trip-153848713204084823,IND000000AAL,34.0313,0.926,0.894,497.0558361328125,532.229861328125,Carting,Carting,35.17402519531254
trip-153857674884251648,IND000000AAL,31.8269,0.932,0.903,498.04336118164065,531.1377456054688,Carting,Carting,33.09438442382816
trip-153844029236173803,IND000000AAQ,13.7468,0.925,0.933,476.4202313964844,500.88900317382814,Carting,Carting,24.46877177734376
trip-153852659031416228,IND000000AAQ,14.0546,0.925,0.933,476.72803139648437,501.65850317382814,Carting,Carting,24.93047177734377
trip-153699710700861554,IND000000AAS,42.6133,0.845,0.876,465.16023603515623,544.3664409179687,FTL,Carting,79.20620488281247
trip-153717306559016761,IND000000AAS,41.7073,0.746,0.853,414.85228901367185,530.7756962890625,FTL,Carting,115.92340727539062
trip-153742183377444012,IND000000AAS,42.595200000000006,0.841,0.889,463.011948046875,550.7659846191407,FTL,Carting,87.7540365722657
trip-153750301916151927,IND000000AAS,38.4114,0.789,0.828,432.6983567871094,510.0442470703125,FTL,Carting,77.34589028320312
trip-153758895506669465,IND000000AAS,42.6142,0.845,0.876,465.16113603515623,544.3686909179687,FTL,Carting,79.20755488281247
trip-153768065158897823,IND000000AAS,39.1247,0.789,0.828,433.4116567871094,511.82749707031246,FTL,Carting,78.41584028320307
trip-153778050614306190,IND000000AAS,42.5405,0.841,0.889,462.957248046875,550.6292346191407,FTL,Carting,87.67198657226567
trip-153786220794548811,IND000000AAS,41.7823,0.836,0.885,459.58079243164065,546.7928471679687,FTL,Carting,87.21205473632807
trip-153793444185245279,IND000000AAS,41.7657,0.84,0.871,461.7510515625,540.1145063476563,FTL,Carting,78.3634547851563
trip-153678405822188932,IND000000AAZ,109.3067,0.839,0.812,528.9154341308594,679.3246723632813,FTL,Carting,150.4092382324219
trip-153782024319539427,IND000000AAZ,93.7069,0.774,0.767,480.8590911621094,617.7661818847656,FTL,Carting,136.90709072265622
trip-153728865172289775,IND000000ABA,18.2372,0.458,0.452,247.37614653320313,271.3480201416016,Carting,Carting,23.971873608398454
trip-153737918556599993,IND000000ABA,18.699,0.458,0.452,247.83794653320314,272.50252014160156,Carting,Carting,24.664573608398427
trip-153746514145494319,IND000000ABA,19.1988,0.489,0.482,263.7845391357422,289.17381884765626,Carting,Carting,25.38927971191407
trip-153781514977396913,IND000000ABA,11.3572,0.819,0.815,421.0494912597656,436.0479987792969,Carting,Carting,14.998507519531302
trip-153789877512280161,IND000000ABA,18.7146,0.489,0.482,263.3003391357422,287.96331884765624,Carting,Carting,24.662979711914033
trip-153807462781768214,IND000000ABA,14.5629,0.643,0.637,336.30438559570314,355.00585229492185,Carting,Carting,18.701466699218713
trip-153833359510091857,IND000000ABA,16.8947,0.596,0.589,314.6726235839844,336.71917187500003,Carting,Carting,22.046548291015654
trip-153677056637168609,IND000000ABD,443.96,0.626,0.618,757.0258569335938,1418.7190612792967,FTL,Carting,661.693204345703
trip-153685080348232663,IND000000ABD,446.3341,0.626,0.618,759.3999569335938,1424.6543112792967,FTL,Carting,665.254354345703
trip-153694475366325284,IND000000ABD,442.374,0.626,0.618,755.4398569335938,1414.7540612792968,FTL,Carting,659.314204345703
